memory_len,mean_reward,max_reward,min_reward,mean_length,max_length,min_length,wins,draws,ilegal
164,-10.0,-10,-10,2.1341463414634148,4,2,0,0,164
169,-10.0,-10,-10,2.136094674556213,4,2,0,0,169
172,-10.0,-10,-10,2.1511627906976742,4,2,0,0,172
177,-10.0,-10,-10,2.152542372881356,4,2,0,0,177
182,-10.0,-10,-10,2.1483516483516483,4,2,0,0,182
186,-10.0,-10,-10,2.150537634408602,4,2,0,0,186
191,-10.0,-10,-10,2.1465968586387434,4,2,0,0,191
196,-10.0,-10,-10,2.1479591836734695,4,2,0,0,196
200,-10.0,-10,-10,2.15,4,2,0,0,200
205,-10.0,-10,-10,2.1463414634146343,4,2,0,0,205
210,-10.0,-10,-10,2.142857142857143,4,2,0,0,210
215,-10.0,-10,-10,2.13953488372093,4,2,0,0,215
220,-10.0,-10,-10,2.1363636363636362,4,2,0,0,220
225,-10.0,-10,-10,2.1333333333333333,4,2,0,0,225
230,-10.0,-10,-10,2.130434782608696,4,2,0,0,230
235,-10.0,-10,-10,2.127659574468085,4,2,0,0,235
240,-10.0,-10,-10,2.125,4,2,0,0,240
245,-10.0,-10,-10,2.126530612244898,4,2,0,0,245
250,-10.0,-10,-10,2.124,4,2,0,0,250
255,-10.0,-10,-10,2.1215686274509804,4,2,0,0,255
259,-10.0,-10,-10,2.1235521235521237,4,2,0,0,259
264,-10.0,-10,-10,2.121212121212121,4,2,0,0,264
269,-10.0,-10,-10,2.1189591078066914,4,2,0,0,269
274,-10.0,-10,-10,2.116788321167883,4,2,0,0,274
279,-10.0,-10,-10,2.118279569892473,4,2,0,0,279
283,-10.0,-10,-10,2.1201413427561837,4,2,0,0,283
288,-10.0,-10,-10,2.1180555555555554,4,2,0,0,288
293,-10.0,-10,-10,2.1160409556313993,4,2,0,0,293
298,-10.0,-10,-10,2.11744966442953,4,2,0,0,298
303,-10.0,-10,-10,2.1155115511551155,4,2,0,0,303
308,-10.0,-10,-10,2.1136363636363638,4,2,0,0,308
312,-10.0,-10,-10,2.1153846153846154,4,2,0,0,312
317,-10.0,-10,-10,2.1167192429022084,4,2,0,0,317
321,-10.0,-10,-10,2.1183800623052957,4,2,0,0,321
325,-10.0,-10,-10,2.123076923076923,4,2,0,0,325
330,-10.0,-10,-10,2.124242424242424,4,2,0,0,330
335,-10.0,-10,-10,2.1223880597014926,4,2,0,0,335
340,-10.0,-10,-10,2.1205882352941177,4,2,0,0,340
344,-10.0,-10,-10,2.122093023255814,4,2,0,0,344
349,-10.0,-10,-10,2.1203438395415475,4,2,0,0,349
354,-10.0,-10,-10,2.1186440677966103,4,2,0,0,354
359,-10.0,-10,-10,2.116991643454039,4,2,0,0,359
364,-10.0,-10,-10,2.1153846153846154,4,2,0,0,364
369,-10.0,-10,-10,2.113821138211382,4,2,0,0,369
374,-10.0,-10,-10,2.1149732620320854,4,2,0,0,374
378,-10.0,-10,-10,2.1164021164021163,4,2,0,0,378
383,-10.0,-10,-10,2.1148825065274153,4,2,0,0,383
388,-10.0,-10,-10,2.11340206185567,4,2,0,0,388
393,-10.0,-10,-10,2.114503816793893,4,2,0,0,393
397,-10.0,-10,-10,2.118387909319899,4,2,0,0,397
402,-10.0,-10,-10,2.116915422885572,4,2,0,0,402
406,-10.0,-10,-10,2.1182266009852215,4,2,0,0,406
411,-10.0,-10,-10,2.119221411192214,4,2,0,0,411
415,-10.0,-10,-10,2.1228915662650603,4,2,0,0,415
420,-10.0,-10,-10,2.1214285714285714,4,2,0,0,420
425,-10.0,-10,-10,2.12,4,2,0,0,425
429,-10.0,-10,-10,2.1235431235431235,4,2,0,0,429
433,-10.0,-10,-10,2.1247113163972284,4,2,0,0,433
438,-10.0,-10,-10,2.1232876712328768,4,2,0,0,438
443,-10.0,-10,-10,2.1218961625282167,4,2,0,0,443
448,-10.0,-10,-10,2.1205357142857144,4,2,0,0,448
453,-10.0,-10,-10,2.119205298013245,4,2,0,0,453
458,-10.0,-10,-10,2.1200873362445414,4,2,0,0,458
463,-10.0,-10,-10,2.1187904967602593,4,2,0,0,463
468,-10.0,-10,-10,2.1175213675213675,4,2,0,0,468
